filename,RMSE,MAE,MAPE,R2
10-14_years.csv,0.32541464362667044,0.3131739038181818,7.846980969012226,-1.9528856215213906
15-19_years.csv,0.5644861800426504,0.4875476813636364,9.52987650735187,-16.637035262527757
20-24_years.csv,0.19854565064467888,0.18464917581818188,2.7389315277117023,-3.008060270516289
25-29_years.csv,0.8073335587217625,0.747243378090909,7.843878413313278,-31.108454773959657
30-34_years.csv,6.082464936299215,4.938351491818182,31.42740547392285,-1494.355106032693
35-39_years.csv,3.7125937616821787,3.0756251363636355,11.346376852309776,-133.52136290549186
40-44_years.csv,2.0686033575682226,2.0355056372727263,4.123251608074678,-3.2655826818149825
45-49_years.csv,17.420332757766616,15.79318675818182,18.87234445865556,-19.342572872331893
5-9_years.csv,0.21623561805135932,0.16865035018181837,4.221453020286606,0.5568847290532148
50-54_years.csv,5.679483687649532,5.024898963636366,3.4729773299016933,-0.744562124217085
55-59_years.csv,3.219807116062476,3.121216845454551,1.3398174986646179,0.8591296027038605
60-64_years.csv,7.948169440200732,7.302336999999992,2.032649470051492,0.6238777549351326
65-69_years.csv,27.62678602934524,25.771469354545456,5.151146276598277,-4.072334869619126
70-74_years.csv,144.888245624116,124.69319699090907,17.94380984539432,-88.41500886581389
75-79_years.csv,20.534245810664714,19.254461045454523,2.0367455558291474,0.2453537688510905
80-84_years.csv,100.60063648083435,95.34338054545452,7.7129270800513,-7.83559878743757
85-89_years.csv,58.81751275778168,50.40543527272724,3.048152307783619,-7.678852863350706
90-94_years.csv,40.83455169677467,36.37217472727273,1.7515331757937833,-1.2040276812524389
95plus_years.csv,172.87138024752875,150.14851790909088,6.614820550348864,-4.36353533588725
less_5_years.csv,0.33446062788361697,0.2714617836363635,4.641248702949662,0.43450878454990194
