year,predicted_value
2022,82.38633799633757
2023,87.42004172034423
2024,94.07839066445828
2025,99.87107194923847
2026,103.52460836646436
2027,105.27383952008148
2028,105.92628757299119
2029,106.11893727240005
2030,106.16444077463103
2031,106.17309882591236
2032,106.1744322893161
2033,106.1745990813947
2034,106.17461606442988
2035,106.1746174744071
2036,106.17461756996522
2037,106.17461757525622
2038,106.1746175754957
2039,106.17461757550457
2040,106.17461757550484
2041,106.17461757550484
2042,106.17461757550484
2043,106.17461757550484
2044,106.17461757550484
2045,106.17461757550484
2046,106.17461757550484
2047,106.17461757550484
2048,106.17461757550484
2049,106.17461757550484
2050,106.17461757550484
