year,predicted
2022,687.44105040
2023,684.04038515
2024,678.96732047
2025,672.79172951
2026,665.95099400
2027,658.76620665
2028,651.46145675
2029,644.18344582
2030,637.01972324
2031,630.01460734
2032,623.18240732
2033,616.51792825
2034,610.00446767
2035,603.61963344
2036,597.33936006
2037,591.14049954
2038,585.00233173
2039,578.90729200
2040,572.84116181
2041,566.79291533
2042,560.75436821
2043,554.71973362
2044,548.68515750
2045,542.64827843
2046,536.60783816
2047,530.56335447
2048,524.51485859
2049,518.46269316
2050,512.40736365
