year,All ages rate,Age-standardized rate
1980,107.2891723,147.8140482
1981,106.958012,146.6814278
1982,106.4153858,145.2813784
1983,106.6305652,144.9423572
1984,106.9630961,144.7365392
1985,107.1523731,144.3417583
1986,106.1908879,142.3374164
1987,107.0423858,142.6788629
1988,107.5383228,142.497619
1989,108.3307324,142.5917724
1990,108.4519207,141.7633025
1991,108.7241209,141.0277664
1992,109.2558027,140.6089807
1993,109.9956918,140.4498202
1994,110.4831452,139.8676521
1995,110.8964458,139.1929589
1996,110.6067257,137.5645713
1997,110.3752953,135.9263926
1998,110.7232626,134.9791175
1999,111.3992078,134.3314171
2000,112.2947899,133.9271607
2001,112.64659,132.7850107
2002,112.9851553,131.6015565
2003,113.5845731,130.7483551
2004,113.9171944,129.5091195
2005,113.9102664,127.8744193
2006,112.7897458,124.8737703
2007,112.8470604,123.1375256
2008,113.7550971,122.3905327
2009,114.378569,121.2870622
2010,115.1556497,120.321122
2011,115.7850608,119.0718522
2012,116.2877103,117.6522161
2013,116.733526,116.2108623
2014,117.4423381,115.0345476
2015,118.570972,114.3471693
2016,120.0892835,113.928256
2017,120.90234,112.7870602
2018,122.2463036,112.1177732
2019,123.6133213,111.3695184
2020,124.1325468,110.0716014
2021,125.3069415,109.5506534
2022,127.017696,108.9828481
2023,128.3536528,108.2139849
2024,129.8877883,107.4693362
2025,131.4648304,106.6998338
2026,132.9181541,105.8355704
2027,134.4219062,105.0640182
2028,135.9955304,104.3050381
2029,137.723986,103.5625887
2030,139.3895032,102.7357967
2031,141.2206786,102.0323908
2032,142.9796701,101.330253
2033,144.6985519,100.5842601
2034,146.4477398,99.78332429
2035,148.3542879,99.05948042
2036,150.2998534,98.38636279
2037,152.1111868,97.69242663
2038,153.8439695,96.95632363
2039,155.8105261,96.30946383
2040,157.9181022,95.72662118
2041,159.9418826,95.11107032
2042,161.7807824,94.43924249
2043,163.7192849,93.82472487
2044,165.7829115,93.24728341
2045,167.7114606,92.61066001
2046,169.4305643,91.90337953
2047,171.1281775,91.24516829
2048,172.8853162,90.62984162
2049,174.6075296,89.96831674
2050,176.2549196,89.25921105
